stationName;stationShortCode;stationUICCode;stationFrom;stationTo
Ahonpää;AHO;1343;Ahonpäästä;Ahonpäähän
Ahvenus;AHV;1000;Ahvenuksesta;Ahvenukseen
Ainola;AIN;628;Ainolasta;Ainolaan
Airaksela;ARL;869;Airakselasta;Airakselaan
Aittaluoto;ATL;676;Aittaluodosta;Aittaluotoon
Ajos;AJO;767;Ajoksesta;Ajokseen
Alapitkä;APT;415;Alapitkästä;Alapitkään
Alavus;ALV;284;Alavuksesta;Alavukselle
Alholma;ALH;308;Alholmasta;Alholmaan
Arola;ARO;939;Arolasta;Arolaan
Asola;ASO;1340;Asolasta;Asolaan
Aviapolis;AVP;1331;Aviapoliksesta;Aviapolikseen
Dragsvik;DRA;167;Dragsvikista;Dragsvikiin
Elijärvi;ELI;828;Elijärveltä;Elijärvelle
Eläinpuisto-Zoo;EPZ;623;Eläinpuisto-Zoosta;Eläinpuisto-Zoohon
Eno;ENO;464;Enosta;Enoon
Ervelä;ERV;1004;Ervelästä;Ervelään
Eskola;ELA;318;Eskolasta;Eskolaan
Espoo;EPO;66;Espoosta;Espooseen
Haapajärvi;HPJ;330;Haapajärveltä;Haapajärvelle
Haapakoski;HPS;402;Haapakoskelta;Haapakoskelle
Haapamäki;HPK;200;Haapamäeltä;Haapamäkeen
Haaparanta;HPA;1408;Haaparannasta;Haaparantaan
Haarajoki;HAA;13;Haarajoelta;Haarajoelle
Hakosilta;HLT;1014;Hakosillalta;Hakosillalle
Haksi;HSI;1015;Haksista;Haksiin
Hamina;HMA;527;Haminasta;Haminaan
Hammaslahti;HSL;451;Hammaslahdesta;Hammaslahteen
Hanala;HNA;1018;Hanalasta;Hanalaan
Hangonsaari;HGS;1020;Hangonsaaresta;Hangonsaareen
Hankasalmi;HKS;427;Hankasalmelta;Hankasalmeen
Hanko asema;HNK;73;Hangosta;Hankoon
Hanko tavara;HNKT;1317;Hanko tavarasta;Hanko tavaraan
Hanko-Pohjoinen;HKP;879;Hanko-Pohjoisesta;Hanko-Pohjoiseen
Harjavalta;HVA;218;Harjavallasta;Harjavaltaan
Harju;HJ;985;Harjusta;Harjuun
Harviala;HRV;622;Harvialasta;Harvialaan
Haukipudas;HD;342;Haukiputaalta;Haukiputaalle
Haukivuori;HAU;549;Haukivuoresta;Haukivuoreen
Hausjärvi tavara;HAS;340;Hausjärvi tavarasta;Hausjärvi tavaraan
Haviseva;HVS;1021;Havisevasta;Havisevaan
Havukoski;HVK;1334;Havukoskelta;Havukoskelle
Heikkilä;HEK;1023;Heikkilästä;Heikkilään
Heinola;HA;113;Heinolasta;Heinolaan
Heinoo;HNO;1025;Heinoosta;Heinoon
Heinävaara;HÄV;924;Heinävaaralta;Heinävaaraan
Heinävesi;HNV;437;Heinävedeltä;Heinävedelle
Helsinki asema;HKI;1;Helsingistä;Helsinkiin
Helsinki Kivihaka;KHK;1028;Helsinki Kivihaasta;Helsinki Kivihakaan
Henna;HNN;1164;Hennasta;Hennaan
Herrala;HR;96;Herralasta;Herralaan
Hiekkaharju;HKH;556;Hiekkaharjulta;Hiekkaharjuun
Hiirola;HIR;997;Hiirolasta;Hiirolaan
Hikiä;HK;91;Hikiältä;Hikiään
Hillosensalmi;HLS;988;Hillosalmesta;Hillosalmeen
Hinthaara;HH;561;Hinthaarasta;Hinthaaraan
Hirvineva;HVN;1041;Hirvinevalta;Hirvinevalle
Humppila;HP;144;Humppilasta;Humppilaan
Huopalahti;HPL;72;Huopalahdesta;Huopalahdelle
Huutokoski;HKO;430;Huutokoskelta;Huutokoskelle
Hyrynsalmi;HYS;392;Hyrynsalmelta;Hyrynsalmelle
Hyvinkää;HY;30;Hyvinkäältä;Hyvinkäälle
Hämeenlinna;HL;47;Hämeenlinnasta;Hämeenlinnaan
Härmä;HM;300;Härmästä;Härmään
